,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K01647,0.780191941046138,26,25,Case,0.28,10.8509,-13.9479,0.0318569824000478,-0.029406445292353,0.9394,0.536,1.6463,0.9394 (0.536;1.6463),0.963665650259186
K01649,0.0480973723680217,21,29,Control,-1.97,-0.8971,1.9433,-0.281781367174011,0.260105877391395,1.8144,0.9709,3.391,1.8144 (0.9709;3.391),0.303187634616318
K01652,0.839868412093286,25,26,Control,-0.2,-13.5513,15.9309,-0.0272509012374015,0.0251546780652944,1.0551,0.6015,1.8508,1.0551 (0.6015;1.8508),0.989676920858447
K01653,0.885246878046434,25,26,Control,-0.15,30.0984,-27.4916,0.0134837396805027,-0.0124465289358492,0.9739,0.556,1.7057,0.9739 (0.556;1.7057),0.989676920858447
K01655,0.0856929058538391,22,29,Control,-1.72,-2.6012,3.6454,-0.107965107098551,0.0996600988602012,1.2497,0.685,2.28,1.2497 (0.685;2.28),0.387060946174894
K01657,0.506228271280028,24,27,Control,-0.67,-3.2886,4.1119,-0.116575295633705,0.107607965200344,1.2598,0.7134,2.2248,1.2598 (0.7134;2.2248),0.825835380143326
K01658,0.721761172145987,25,26,Control,-0.36,-22.5726,18.5215,-0.0196075588964201,0.0180992851351566,1.0393,0.5931,1.821,1.0393 (0.5931;1.821),0.942229451210324
K01661,0.0722585988762938,29,22,Case,1.8,2.0773,-0.9571,0.285956300266141,-0.26395966178413,0.5514,0.2984,1.0188,0.5514 (0.2984;1.0188),0.36258332650426
K01662,0.266769187406626,28,23,Case,1.12,3.1178,-1.4488,0.160180694578483,-0.147859102687831,0.7209,0.3968,1.3096,0.7209 (0.3968;1.3096),0.625904407241043
K01676,0.00434960981287749,32,20,Case,2.81,1.494,-0.5618,0.422993524727401,-0.390455561286832,0.3799,0.1882,0.7668,0.3799 (0.1882;0.7668),0.232807687127348
