,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K13853,0.482944350728364,24,27,Control,-0.7,-0.8258,2.7478,-0.14788835842775,0.136512330856384,1.4845,0.6237,3.5332,1.4845 (0.6237;3.5332),0.810193209281614
K13889,0.349431245115393,23,27,Control,-0.94,-5.3047,6.3124,-0.0568527049282217,0.0524794199337432,1.1212,0.628,2.0016,1.1212 (0.628;2.0016),0.703872257185845
K13890,0.637115113015633,24,26,Control,-0.48,2.7493,-0.6668,0.115812261339123,-0.106903625851498,0.7586,0.3506,1.6412,0.7586 (0.3506;1.6412),0.909933147432746
K13891,0.258477438046732,23,28,Control,-1.14,2.8021,-0.4751,0.112684175347756,-0.104016161859467,0.7657,0.3568,1.6433,0.7657 (0.3568;1.6433),0.61814604332878
K13892,0.780191941046138,25,26,Control,-0.28,2.3058,-0.2869,0.139918996397955,-0.129155996675035,0.6689,0.2322,1.9273,0.6689 (0.2322;1.9273),0.963665650259186
K13893,0.606806853616854,27,24,Case,0.51,1.8368,-0.0336,0.185066370752181,-0.170830496078936,0.0691,0.0014,3.3802,0.0691 (0.0014;3.3802),0.894854786904452
K13894,0.750801123888555,26,25,Case,0.32,1.8249,-0.035,0.190274290285365,-0.17563780641726,0.0737,0.0017,3.2377,0.0737 (0.0017;3.2377),0.955719663930618
K13895,0.446432410141506,27,24,Case,0.77,1.8277,-0.0293,0.190419527143431,-0.175771871209321,0.0711,0.0016,3.2229,0.0711 (0.0016;3.2229),0.779177063663125
K13896,0.101155518200909,22,29,Control,-1.64,-419.3768,322.6819,-0.000680648776081126,0.00062829117792104,1.0013,0.5717,1.7539,1.0013 (0.5717;1.7539),0.422672128095991
K13938,0.992242868100528,26,25,Case,0.01,1.8746,-0.0112,0.178278282082785,-0.164564568076416,0.0933,0.0015,5.7277,0.0933 (0.0015;5.7277),1
K13940,0.721761172145987,25,26,Control,-0.36,6.6737,-4.4195,0.0660510702105685,-0.0609702186559094,0.8778,0.4982,1.5468,0.8778 (0.4982;1.5468),0.942229451210324
K14080,0.0554557317889014,21,29,Control,-1.92,-0.1417,1.849,-0.198915179228041,0.183614011595115,7.4162,0.4883,112.6299,7.4162 (0.4883;112.6299),0.321300219230542
K14138,0.00868821959739102,20,31,Control,-2.59,-0.6831,2.0033,-0.288116657449785,0.265953837645956,1.9648,0.9521,4.0548,1.9648 (0.9521;4.0548),0.241203117614782
K14153,0.356287556486919,24,27,Control,-0.92,154.8798,-139.6861,0.0021023508558496,-0.00194063155924575,0.9959,0.5687,1.744,0.9959 (0.5687;1.744),0.715189565657149
K14157,0.549320799623516,27,24,Case,0.6,2.4602,-0.8096,0.201671216488022,-0.186158045988944,0.6324,0.3125,1.2797,0.6324 (0.3125;1.2797),0.864549615459477
K14170,0.028020407833775,21,30,Control,-2.18,-0.5976,1.9225,-0.351161294643385,0.324148887363124,2.1547,1.1194,4.1474,2.1547 (1.1194;4.1474),0.256056409798074
K14187,0.543993635325268,24,27,Control,-0.61,2.2291,-0.1667,0.14886767269629,-0.137416313258113,0.6138,0.161,2.3404,0.6138 (0.161;2.3404),0.859984312384812
K14267,0.547184406700979,27,24,Case,0.6,4.6955,-3.8366,0.0962919347296067,-0.0888848628273293,0.8269,0.4692,1.4574,0.8269 (0.4692;1.4574),0.863813585859411
K14449,0.26543028213319,23,28,Control,-1.11,-0.2695,2.1648,-0.184387253523422,0.170203618637005,1.9665,0.5111,7.5662,1.9665 (0.5111;7.5662),0.625904407241043
K14471,0.886996721008141,25,26,Control,-0.14,4.5639,-2.6713,0.0919170563958134,-0.0848465135961354,0.8315,0.4643,1.4892,0.8315 (0.4643;1.4892),0.989676920858447
K14534,0.0173612295626442,20,30,Control,-2.36,-0.4261,1.8524,-0.369941875389498,0.341484808051844,2.3409,1.1591,4.7277,2.3409 (1.1591;4.7277),0.242798568658306
K14652,0.992323823710657,25,26,Control,-0.01,-2.9882,3.8926,-0.105147739644075,0.0970594519791461,1.2356,0.6895,2.214,1.2356 (0.6895;2.214),1
K14682,0.423668337458815,24,27,Control,-0.81,2.5761,-0.4087,0.138033741604816,-0.127415761481368,0.6936,0.2785,1.7271,0.6936 (0.2785;1.7271),0.764371125688135
K14940,0.960750218700741,25,26,Control,-0.05,3.4772,-1.6371,0.129387239672554,-0.119434375082358,0.7657,0.4167,1.4068,0.7657 (0.4167;1.4068),0.996198680481542
K14941,1,26,26,Control,0,-11.577,14.6289,-0.0330302084245521,0.030489423161125,1.0671,0.6083,1.8719,1.0671 (0.6083;1.8719),1
K15022,0.234661698866164,23,28,Control,-1.19,-4.4383,4.351,-0.0925549471902063,0.0854353358678826,1.2018,0.6799,2.1242,1.2018 (0.6799;2.1242),0.583539268861877
K15023,0.0378489319091801,21,30,Control,-2.07,-0.8717,2.103,-0.271605167104074,0.250712461942222,1.8267,0.9369,3.5616,1.8267 (0.9369;3.5616),0.282694933822692
K15024,0.154740451620766,22,28,Control,-1.43,-2.5336,3.4504,-0.147733041664682,0.13636896153663,1.3461,0.7536,2.4044,1.3461 (0.7536;2.4044),0.499793872476267
K15036,0.154740451620766,22,28,Control,-1.43,-0.7338,2.3986,-0.206303221874193,0.190433743268486,1.6836,0.7672,3.6945,1.6836 (0.7672;3.6945),0.499793872476267
K15037,0.566742004299726,24,27,Control,-0.57,61.5072,-47.797,0.00618124503273528,-0.00570576464560181,0.9879,0.5642,1.7299,0.9879 (0.5642;1.7299),0.875024742902324
K15039,0.191707850908558,23,28,Control,-1.31,-0.9979,2.6824,-0.220582944925866,0.203615026085415,1.6018,0.8521,3.0111,1.6018 (0.8521;3.0111),0.537355671873365
